Artikelnummer;ArticleID;K24Number;ArticleDesignation;CustomsTariffNumber
1080-2047;35246;1080-2047;Glühlampe D1S (9045) 35W [85V];85392130
1080-2059;35309;1080-2059;Soffittenlampe 5W [12V];85437090
1080-2118;1001847;1080-2118;Glühlampe [OSRAM] D3S  XENARC® 35W [12V] (67);85391000
1080-2719;414723;1080-2719;Glühlampe [PHILIPS] H3 Vision 55W [12V] (75);85392130
1080-2734;414550;1080-2734;Glühlampe [PHILIPS] H7 WhiteVision 55W [12V] (75);85392130
1080-2737;414553;1080-2737;Glühlampe [PHILIPS] H9 65W [12V] (75);85392130
1080-2760;414485;1080-2760;Glassockelglühlampe [PHILIPS] W1.2W [12V] (75);85392930
1080-2763;414488;1080-2763;Glassockelglühlampe [PHILIPS] W5W [12V] (75);85392930
1080-2768;414647;1080-2768;Glassockelglühlampe [PHILIPS] W21/5W [12V] (75);85392930
1080-2768;414647;1080-2768;Glassockelglühlampe [PHILIPS] W21/5W [12V] (75);85392930
1080-2769;414648;1080-2769;Glassockelglühlampe [PHILIPS] WY21W [12V] orange (75);85392930
1080-2771;414650;1080-2771;Soffittenlampe [PHILIPS] C5W [12V] (75);85392930
1080-2860;1001892;1080-2860;Glühlampe [OSRAM] H7  Ultra Life 55W [12V] (67);85392130
1080-2861;1001893;1080-2861;Glühlampe [OSRAM] H7  Ultra Life 55W [12V] (67);85392130
1080-2901;1001949;1080-2901;Glühlampe [OSRAM] C5W Original 5W [12V] (67);85392130
1080-2907;1001917;1080-2907;Glühlampe [OSRAM] H3 Original 55W [12V] (67);85392130
1080-2908;1001918;1080-2908;Glühlampe [OSRAM] H4 Original 60/55W [12V] (67);85392130
1080-2909;1001919;1080-2909;Glühlampe [OSRAM] H7 Original 55W [12V] (67);85392130
1080-2909;1001919;1080-2909;Glühlampe [OSRAM] H7 Original 55W [12V] (67);85392130
1080-2915;1001925;1080-2915;Glühlampe [OSRAM] P21/5W Original 21/5W [12V] (67);85392130
1080-2915;1001925;1080-2915;Glühlampe [OSRAM] P21/5W Original 21/5W [12V] (67);85392130
1080-2916;1001926;1080-2916;Glühlampe [OSRAM] P21W Original 21W [12V] (67);85392130
1080-2919;1001929;1080-2919;Glühlampe [OSRAM] R10W Original 10W [12V] (67);85392130
1080-2920;1001930;1080-2920;Glühlampe [OSRAM] R5W Original 5W [12V] (67);85392130
1080-2925;1001935;1080-2925;Glühlampe [OSRAM] W5W Original 5W [12V] (67);85392130
1080-2925;1001935;1080-2925;Glühlampe [OSRAM] W5W Original 5W [12V] (67);85392130
1115-0056;443148;1115-0056;[FEB] Fensterkurbel;83023000
1115-0172;397475;1115-0172;[VAL] Fensterheber;87089997
1115-0869;159996;1115-0869;[PH] Fensterheber;87089997
1115-0876;160002;1115-0876;[PH] Fensterheber;87089997
1115-100244;1144321;1115-100244;[VAN] Fensterheber;87089997
1115-101256;1249212;1115-101256;[MEZ] Fensterheber;83023000
1115-102100;2034255;1115-102100;[MEZ] Fensterheber;83023000
1115-102175;2034478;1115-102175;[MEZ] Fensterheber;83023000
1115-102401;1479620;1115-102401;[MAR] Fensterheber;87089997
1115-103513;2166967;1115-103513;[MAR] Fensterheber;87089997
1115-103819;2403483;1115-103819;[VAN] Fensterheber;87089997
1115-104260;1669151;1115-104260;[MYE] Fensterheber;83023000
1115-1055;158930;1115-1055;[PH] Fensterheber;87089997
1115-107682;3238472;1115-107682;[KFT] Fensterheber;87089997
1115-1340;119430;1115-1340;[PH] Fensterheber;87089997
1115-1340;119430;1115-1340;[PH] Fensterheber;87089997
1115-1369;231456;1115-1369;[TON] Fensterheber;87089997
1115-1570;126312;1115-1570;[PH] Fensterheber;87089997
1115-1768;232094;1115-1768;[TON] Fensterheber;87089997
1115-3211;416871;1115-3211;[VAL] Fensterheber;87089997
1115-3384;417736;1115-3384;[VAL] Fensterheber;87089997
1120-0612;772476;1120-0612;[DID] Seitenwand;87082990
1120-0753;772171;1120-0753;[DID] Frontverkleidung;87082990
1120-100093;1197889;1120-100093;[PRA] Kotflügel;87082990
1120-100245;1182611;1120-100245;[PRA] Kotflügel;87082990
1120-100369;1184684;1120-100369;[PRA] Kotflügel;87082990
1120-100433;1185780;1120-100433;[PRA] Kotflügel;87082990
1120-100449;1186163;1120-100449;[PRA] Kotflügel;87082990
1120-100467;1186724;1120-100467;[PRA] Kotflügel;87082990
1120-100539;1188606;1120-100539;[PRA] Kotflügel;87082990
1120-100584;1189613;1120-100584;[PRA] Kotflügel;87082990
1120-100643;1191388;1120-100643;[PRA] Kotflügel;87082990
1120-100803;1196445;1120-100803;[PRA] Kotflügel;87082990
1120-101148;1272574;1120-101148;[PRA] Kotflügel;87082990
1120-102090;1141737;1120-102090;[VAN] Kotflügel;87082990
1120-102263;1144306;1120-102263;[VAN] Seitenwand;87082990
1120-102264;1144320;1120-102264;[VAN] Einstiegblech;87082990
1120-102862;1139233;1120-102862;[VAN] Heckwand;87082990
1120-102935;1142300;1120-102935;[VAN] Frontverkleidung;87082990
1120-103366;1142598;1120-103366;[VAN] Kotflügel;87082990
1120-103496;1143748;1120-103496;[VAN] Kotflügel;87082990
1120-103649;1144789;1120-103649;[VAN] Frontverkleidung;87082990
1120-103649;1144789;1120-103649;[VAN] Frontverkleidung;87082990
1120-103649;1144789;1120-103649;[VAN] Frontverkleidung;87082990
1120-103650;1144797;1120-103650;[VAN] Kotflügel;87082990
1120-104042;1146805;1120-104042;[VAN] Kotflügel;87082990
1120-104055;1146840;1120-104055;[VAN] Kotflügel;87082990
1120-104440;1148675;1120-104440;[VAN] Kotflügel;87082990
1120-104471;1149016;1120-104471;[VAN] Kotflügel;87082990
1120-104472;1149017;1120-104472;[VAN] Kotflügel;87082990
1120-104478;1149026;1120-104478;[VAN] Kotflügel;87082990
1120-104559;1149355;1120-104559;[VAN] Kotflügel;87082990
1120-104560;1149356;1120-104560;[VAN] Kotflügel;87082990
1120-104671;1149942;1120-104671;[VAN] Karosserieboden;87082990
1120-104673;1149948;1120-104673;[VAN] Kotflügel;87082990
1120-104988;1176471;1120-104988;[VAN] Kotflügel;87082990
1120-105026;1176582;1120-105026;[VAN] Frontverkleidung;87082990
1120-106061;1639685;1120-106061;[MYE] Türfeststeller;83023000
1120-106183;2043870;1120-106183;[MEZ] Rollenführung, Schiebetür;83023000
1120-106189;2043888;1120-106189;[MEZ] Rollenführung, Schiebetür;83023000
1120-106196;2043910;1120-106196;[MEZ] Rollenführung, Schiebetür;83023000
1120-106729;2123086;1120-106729;[VAN] Heckwand;87082990
1120-106874;2465344;1120-106874;[PRA] Kotflügel;87082990
1120-107312;2545880;1120-107312;[PRA] Kotflügel;87082990
1120-107313;2545881;1120-107313;[PRA] Kotflügel;87082990
1120-107443;1690488;1120-107443;[DID] Kotflügel;87082990
1120-107775;1722639;1120-107775;[DID] Kotflügel;87082990
1120-107794;1723349;1120-107794;[DID] Kotflügel;87082990
1120-107794;1723349;1120-107794;[DID] Kotflügel;87082990
1120-107794;1723349;1120-107794;[DID] Kotflügel;87082990
1120-107794;1723349;1120-107794;[DID] Kotflügel;87082990
1120-107795;1723350;1120-107795;[DID] Kotflügel;87082990
1120-107795;1723350;1120-107795;[DID] Kotflügel;87082990
1120-108511;1836796;1120-108511;[DID] Kotflügel;87082990
1120-109208;1723381;1120-109208;[DID] Hilfsrahmen/Aggregateträger;87082990
1120-11490;227309;1120-11490;[TON] Rollenführung, Schiebetür;87082990
1120-12497;236964;1120-12497;[TON] Rollenführung, Schiebetür;87082990
1120-7329;982286;1120-7329;[VAN] Tür, Karosserie;87082990
1120-7330;982287;1120-7330;[VAN] Tür, Karosserie;87082990
1121-100045;1225526;1121-100045;[PRA] Motorhaube;87082990
1121-100253;1214556;1121-100253;[PRA] Motorhaube;87082990
1121-100253;1214556;1121-100253;[PRA] Motorhaube;87082990
1125-0006;258637;1125-0006;Kennzeichenträger [ohne Aufdruck] Nummernschildhalter (969);87089997
1125-101247;1236429;1125-101247;[PRA] Rahmen, Nebelscheinwerfer;87082990
1125-101415;1260191;1125-101415;[PRA] Innenkotflügel;87082990
1125-101950;1308098;1125-101950;[PRA] Rahmen, Nebelscheinwerfer;87082990
1125-102012;1182847;1125-102012;[VAN] Lüftungsgitter, Stoßfänger;87081090
1125-102020;1183077;1125-102020;[VAN] Motorraumdämmung;87082990
1125-102229;1191739;1125-102229;[VAN] Lüftungsgitter, Stoßfänger;87081090
1125-102238;1192516;1125-102238;[VAN] Lüftungsgitter, Stoßfänger;87081090
1125-102408;1135795;1125-102408;[VAN] Kühlergitter;87081090
1125-102777;1140706;1125-102777;[VAN] Verkleidung, Radhaus;87082990
1125-103719;1175000;1125-103719;[VAN] Lüftungsgitter, Stoßfänger;87081090
1125-103783;1139328;1125-103783;[VAN] Verkleidung, Radhaus;87082990
1125-104005;1142301;1125-104005;[VAN] Motorraumdämmung;87082990
1125-104203;1141488;1125-104203;[VAN] Lüftungsgitter, Stoßfänger;87081090
1125-104571;1144703;1125-104571;[VAN] Verkleidung, Radhaus;87082990
1125-104610;1144847;1125-104610;[VAN] Motorraumdämmung;87082990
1125-104973;1146745;1125-104973;[VAN] Kühlergitter;87081090
1125-105438;1148692;1125-105438;[VAN] Lüftungsgitter, Stoßfänger;87081090
1125-105903;1175965;1125-105903;[VAN] Blende, Stoßfänger;87081090
1125-107150;1146350;1125-107150;[VAN] Lüftungsgitter, Stoßfänger;87081090
1125-107254;1632161;1125-107254;[DID] Lüftungsgitter, Stoßfänger;87081090
1125-107255;1632162;1125-107255;[DID] Lüftungsgitter, Stoßfänger;87081090
1125-107286;1646430;1125-107286;[FEB] Clip, Zier-/Schutzleiste;39269097
1125-107460;1523041;1125-107460;[AIC] Clip, Zier-/Schutzleiste;87082990
1125-108783;2442753;1125-108783;[VAN] Kühlergitter;87081090
1125-108851;2456553;1125-108851;[PRA] Innenkotflügel;87082990
1125-109504;2483845;1125-109504;[PRA] Klappe, Abschlepphaken;87082990
1125-109636;2490706;1125-109636;[PRA] Innenkotflügel;87082990
1125-110639;2531120;1125-110639;[PRA] Klappe, Abschlepphaken;87082990
1125-112385;1700227;1125-112385;[DID] Verkleidung, Radhaus;87082990
1125-114669;1767257;1125-114669;[DID] Zier-/Schutzleiste, Tür;87082990
1125-115080;1796694;1125-115080;[DID] Verkleidung, Radhaus;87082990
1125-115862;1836656;1125-115862;[DID] Lüftungsgitter, Stoßfänger;87081090
1125-115916;1837688;1125-115916;[DID] Kühlergitter;87082990
1125-115916;1837688;1125-115916;[DID] Kühlergitter;87082990
1125-116005;1841740;1125-116005;[DID] Motorraumdämmung;87082990
1125-11614;386694;1125-11614;[FEB] Motor-/Unterfahrschutz;73182900
1125-116921;1506998;1125-116921;[SAI] Zier-/Schutzleiste, Frontscheibe;87082990
1125-119421;1768862;1125-119421;[JP] Lüftungsgitter, Stoßfänger;87081090
1125-120903;2803520;1125-120903;[PRA] Kühlergitter;87082990
1125-121322;2766602;1125-121322;[VAN] Montagesatz, Stoßfänger;87082990
1125-121835;3082986;1125-121835;[VAN] Motorraumdämmung;87082990
1125-123277;3244024;1125-123277;[VAN] Motorraumdämmung;87082990
1125-123277;3244024;1125-123277;[VAN] Motorraumdämmung;87082990
1125-123733;3236130;1125-123733;[DID] Verkleidung, Radhaus;87082990
1125-123791;3236304;1125-123791;[DID] Frontverkleidung;87082990
1125-126292;3359730;1125-126292;[DID] Halter, Stoßfänger;87081090
1125-127319;3233853;1125-127319;[ABK] Lüftungsgitter, Stoßfänger;87081090
1125-1921;839503;1125-1921;[DID] Stoßfänger;87081090
1125-4180;827539;1125-4180;[PRA] Stoßfänger;87081090
1125-5976;470779;1125-5976;[FEB] Motorraumdämmung;87082990
1125-5976;470779;1125-5976;[FEB] Motorraumdämmung;87082990
1125-5977;470817;1125-5977;[FEB] Motorraumdämmung;87082990
1125-6026;853809;1125-6026;[DID] Blende, Stoßfänger;87081090
1125-8796;693915;1125-8796;[VAN] Motorraumdämmung;87082990
1126-100419;1189330;1126-100419;[PRA] Stoßfänger;87081090
1126-100719;1246237;1126-100719;[PRA] Stoßfänger;87081090
1126-101964;1175617;1126-101964;[VAN] Trittbrett;87082990
1126-102117;1142649;1126-102117;[VAN] Stoßfänger;87081090
1126-102788;1149762;1126-102788;[VAN] Stoßfänger;87081090
1126-102788;1149762;1126-102788;[VAN] Stoßfänger;87081090
1126-102861;1175704;1126-102861;[VAN] Stoßfänger;87081090
1126-103607;2106637;1126-103607;[VAN] Stoßfänger;87081090
1126-104710;1695605;1126-104710;[DID] Stoßfänger;87081090
1126-105805;1794187;1126-105805;[DID] Stoßfänger;87081090
1126-108886;3240492;1126-108886;[PRA] Stoßfänger;87081090
1126-109439;3441104;1126-109439;[DID] Stoßfänger;87081090
1130-0406;47287;1130-0406;[PH] Außenspiegel;70091000
1130-0411;67046;1130-0411;[PH] Außenspiegel;70091000
1130-0412;67047;1130-0412;[PH] Außenspiegel;70091000
1130-101416;1191391;1130-101416;[VAN] Außenspiegel;70091000
1130-101675;1196265;1130-101675;[TYC] Spiegelglas, Außenspiegel;70091000
1130-10226;640567;1130-10226;[AKA] Spiegelglas, Außenspiegel;70091000
1130-102414;1247162;1130-102414;[VAN] Außenspiegel;70091000
1130-103163;1084252;1130-103163;[JO] Außenspiegel;70091000
1130-103478;1081689;1130-103478;[JO] Spiegelglas, Außenspiegel;70091000
1130-103588;1146154;1130-103588;[VAN] Außenspiegel;70091000
1130-10424;641890;1130-10424;[AKA] Spiegelglas, Außenspiegel;70091000
1130-104385;1089542;1130-104385;[JO] Abdeckung, Außenspiegel;87082990
1130-104440;1089830;1130-104440;[JO] Abdeckung, Außenspiegel;87082990
1130-104600;1090977;1130-104600;[JO] Abdeckung, Außenspiegel;87082990
1130-105782;1189228;1130-105782;[TYC] Spiegelglas, Außenspiegel;70091000
1130-105980;1251537;1130-105980;[TYC] Spiegelglas, Außenspiegel;70091000
1130-10672;642142;1130-10672;[AKA] Spiegelglas, Außenspiegel;70091000
1130-107781;1391806;1130-107781;[VAN] Spiegelglas, Außenspiegel;70091000
1130-108009;1404296;1130-108009;[VAN] Außenspiegel;70091000
1130-10847;641112;1130-10847;[AKA] Außenspiegel;70091000
1130-10847;641112;1130-10847;[AKA] Außenspiegel;70091000
1130-108563;1435045;1130-108563;[VAN] Spiegelglas, Außenspiegel;70091000
1130-108952;1467017;1130-108952;[VAN] Spiegelglas, Außenspiegel;70091000
1130-10932;641182;1130-10932;[AKA] Außenspiegel;70091000
1130-115314;1817390;1130-115314;[DID] Außenspiegel;70091000
1130-115541;1803457;1130-115541;[AKA] Abdeckung, Außenspiegel;87082990
1130-115640;2620793;1130-115640;[PH] Außenspiegel;70091000
1130-115640;2620793;1130-115640;[PH] Außenspiegel;70091000
1130-11786;642256;1130-11786;[AKA] Spiegelglas, Außenspiegel;70091000
1130-11786;642256;1130-11786;[AKA] Spiegelglas, Außenspiegel;70091000
1130-11806;642276;1130-11806;[AKA] Spiegelglas, Außenspiegel;70091000
1130-119764;2124113;1130-119764;[TYC] Außenspiegel;70091000
1130-12161;642691;1130-12161;[AKA] Spiegelglas, Außenspiegel;70091000
1130-12171;642701;1130-12171;[AKA] Spiegelglas, Außenspiegel;70091000
1130-12326;642554;1130-12326;[AKA] Spiegelglas, Außenspiegel;70091000
1130-123286;3243720;1130-123286;[VAN] Außenspiegel;70091000
1130-123305;3243739;1130-123305;[VAN] Außenspiegel;70091000
1130-123307;3243741;1130-123307;[VAN] Außenspiegel;70091000
1130-12876;27319;1130-12876;[PH] Außenspiegel;70091000
1130-128786;4449367;1130-128786;[ABK] Außenspiegel;70091000
1130-12946;27987;1130-12946;[PH] Abdeckung, Außenspiegel;87082990
1130-12982;25795;1130-12982;[PH] Spiegelglas, Außenspiegel;70091000
1130-13150;643048;1130-13150;[AKA] Außenspiegel;70091000
1130-13467;643145;1130-13467;[AKA] Abdeckung, Außenspiegel;87082990
1130-13502;643126;1130-13502;[AKA] Spiegelglas, Außenspiegel;70091000
1130-13584;29179;1130-13584;[PH] Außenspiegel;70091000
1130-13869;31431;1130-13869;[PH] Spiegelglas, Außenspiegel;70091000
